,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
361,Ultreia Mencía, 2020,15.95,4.1,Vino tinto,Bierzo,13.5,Mencía,93.0,,91.0
362,Finca La Colina Sauvignon Blanc, 2022,15.5,4.7,Vino blanco,Rueda,13.0,Sauvignon blanc,,91.0,
363,Acústic Blanc, 2021,13.2,4.2,Vino blanco,Montsant,14.0,Garnacha blanca,91.0,90.0,
364,Artigas, 2020,22.95,4.4,Vino tinto,Priorat,14.5,Garnacha,,,
365,Enate Rosado, 2022,8.65,4.4,Vino rosado,Somontano,14.0,Cabernet sauvignon,,,
366,Viña Alberdi, 2019,16.7,4.3,Vino tinto,Rioja,14.5,Tempranillo,92.0,92.0,
367,Alma de Luzón, 2020,37.95,4.0,Vino tinto,Jumilla,15.5,Monastrell,,93.0,
368,Mas Candí Brut Nature, 2021,12.0,3.8,Cava,Corpinnat,12.0,Xarel·lo,91.0,,
369,Agustí Torelló Mata Rosat Trepat, 2021,13.5,4.5,Cava,DO Cava,11.5,Trepat,,,
370,Tarima Hill, 2021,11.4,4.3,Vino tinto,Alicante,15.0,Monastrell,92.0,93.0,
371,La Viña de Ayer Albillo Real, 2019,10.9,3.7,Vino naranja,Cebreros,13.5,Albillo,92.0,,
372,Borsao Cabriola, 2018,10.9,4.5,Vino tinto,Campo de Borja,15.5,Garnacha,91.0,,92.0
373,Bohórquez, 2016,23.5,4.6,Vino tinto,Ribera del Duero,14.0,Tempranillo,,91.0,
374,Viña Salceda Crianza, 2019,8.55,3.8,Vino tinto,Rioja,13.5,Tempranillo,,92.0,
375,Maria Casanovas Glaç Brut Nature,,14.9,4.8,Cava,DO Cava,11.5,Pinot noir,,,
376,Las Moradas de San Martín Albillo Real, 2021,13.25,4.6,Vino blanco,Vinos de Madrid,13.0,Albillo,90.0,,
377,Abadía Retuerta Le Domaine, 2022,38.8,4.4,Vino blanco,Abadía Retuerta,13.5,Sauvignon blanc,93.0,93.0,93.0
378,Cair Selección La Aguilera, 2019,17.9,5.0,Vino tinto,Ribera del Duero,14.5,Tempranillo,,91.0,
379,San Vicente, 2020,43.9,4.7,Vino tinto,Rioja,14.5,Tempranillo peludo,94.0,95.0,93.0
