,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
136,Guitián Godello, 2022,"14,90 €","4,4",Vino blanco,Valdeorras,"13,0%",Godello,91+ PK,91 PN,NA
137,Viñas Elías Mora, 2021,"9,80 €","4,2",Vino tinto,Toro,"14,5%",Tinta de Toro,90 PK,91 PN,NA
138,Rafael Cambra Soplo, 2021,"5,95 €","4,0",Vino tinto,Valencia,"13,0%",Garnacha,91 PK,NA,92 SK
139,Albariño Paco & Lola, 2022,"13,95 €","4,4",Vino blanco,Rías Baixas,"13,0%",Albariño,NA,90 PN,NA
140,Adhuc Tempus Roble, 2021,"7,95 €","4,6",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,NA
141,Artuke Pies Negros, 2021,"13,70 €","4,4",Vino tinto,Rioja,"14,0%",Tempranillo,92+ PK,92 PN,NA
142,Pasos de San Martín, 2019,"18,50 €","4,1",Vino tinto,Navarra,"14,5%",Garnacha,93 PK,95 PN,95 SK
143,Luna Beberide Mencía, 2023,"5,95 €","4,1",Vino tinto,Bierzo,"12,9%",Mencía,91 PK,91 PN,NA
144,Coto de Hayas Garnacha Centenaria, 2021,"11,95 €","4,5",Vino tinto,Campo de Borja,"14,5%",Garnacha,90 PK,90 PN,NA
145,San Román, 2020,"32,10 €","4,6",Vino tinto,Toro,"14,5%",Tinta de Toro,93+ PK,95 PN,92 SK
146,Llopart Imperial Panoràmic Brut Gran Reserva, 2018,"19,95 €","4,5",Cava,Corpinnat,"11,5%",Xarel·lo,91 PK,NA,NA
147,La Niña de Mis Ojos, 2022,"6,90 €","4,3",Vino blanco,Rioja,"12,0%",Sauvignon blanc,NA,NA,NA
148,Bruto, 2021,"35,95 €","4,5",Vino tinto,Jumilla,"15,5%",Monastrell,92+ PK,NA,NA
149,Marqués de Vargas Reserva, 2018,"27,90 €","4,5",Vino tinto,Rioja,"14,0%",Tempranillo,92 PK,92 PN,91 SK
150,Alta Alella Mirgin Rosé Reserva, 2019,"12,95 €","4,4",Cava,DO Cava,"12,0%",Mataró,NA,NA,NA
151,Ossian, 2021,"32,50 €","4,8",Vino blanco,Castilla y León,"13,5%",Verdejo,94 PK,93 PN,93 SK
152,Acústic, 2020,"13,20 €","4,3",Vino tinto,Montsant,"14,0%",Samsó,90 PK,92 PN,NA
153,Cava Rimarts Gran Reserva 40, 2018,"15,95 €","4,2",Cava,DO Cava,"11,5%",Macabeo,NA,94 PN,NA
154,Guímaro Finca Meixemán, 2021,"26,95 €","3,7",Vino tinto,Ribeira Sacra,"13,0%",Mencía,96 PK,93 PN,NA
155,La del Vivo, 2022,"21,50 €","4,6",Vino blanco,Bierzo,"13,5%",Godello,95+ PK,91 PN,NA
156,Alta Alella Mirgin Laietà Rosé, 2019,"20,95 €","4,5",Cava,DO Cava,"12,0%",Mataró,NA,NA,NA
157,Sembro, 2022,"8,95 €","4,4",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,NA
158,Arzuaga Crianza, 2020,"22,95 €","4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,90 PK,90 PN,91 SK
