Encabezados,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
397,Preludio de Sei Solo, 2021,"27,90 €","4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,91-93 PK,93 PN,NA
398,12 Lunas, 2020,No se encontró el elemento price,"4,3",Vino tinto,Somontano,"14,0%",Tempranillo,NA,NA,NA
399,Sela, 2021,"17,90 €","4,5",Vino tinto,Rioja,"14,0%",Tempranillo,91 PK,NA,92 SK
400,Altos de Losada, 2021,No se encontró el elemento price,"3,8",Vino tinto,Bierzo,"14,0%",Mencía,92 PK,NA,93 SK
401,Tesalia, 2019,"31,50 €","4,8",Vino tinto,Cádiz,"14,5%",Petit verdot,NA,NA,NA
402,Vivanco Reserva, 2017,No se encontró el elemento price,"4,4",Vino tinto,Rioja,"14,0%",Tempranillo,92 PK,90 PN,NA
403,César Márquez Valtuille Vino de Villa, 2020,No se encontró el elemento price,"0,0",Vino tinto,Bierzo,"13,0%",Mencía,94+ PK,NA,NA
404,AT Roca Brut Nature Reserva, 2021,No se encontró el elemento price,"0,0",Cava,DO Cava,"12,0%",Macabeo,NA,NA,NA
405,O Luar Do Sil Sobre Lías, 2022,No se encontró el elemento price,"4,0",Vino blanco,Valdeorras,"13,5%",Godello,NA,94 PN,NA
406,Nita, 2021,"13,50 €","4,6",Vino tinto,Priorat,"14,0%",Garnacha,90 PK,NA,NA
407,Menade Verdejo, 2022,No se encontró el elemento price,"4,2",Vino blanco,Rueda,"13,0%",Verdejo,NA,90 PN,NA
408,Celeste Crianza, 2020,"21,95 €","4,7",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,90 PN,92 SK
409,Artadi El Carretil, 2014,"185,00 €","4,8",Vino tinto,España,"14,5%",Tempranillo,95-97 PK,97 PN,99 SK
410,Can Sumoi Ancestral Montonega, 2022,No se encontró el elemento price,"4,5",Ancestral,España,"11,0%",Parellada,91 PK,NA,NA
411,Llopart Microcosmos Rosé Brut Nature, 2020,No se encontró el elemento price,"3,4",Cava,Corpinnat,"11,5%",Pinot noir,91 PK,NA,NA
412,Vilarnau Brut Nature Reserva,,"12,40 €","4,0",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
413,Muriel Fincas De La Villa Reserva, 2018,No se encontró el elemento price,"4,3",Vino tinto,Rioja,"13,5%",Tempranillo,NA,NA,92 SK
414,Herència Altés L'Estel, 2018,No se encontró el elemento price,"0,0",Vino tinto,Terra Alta,"15,0%",Garnacha,90+ PK,NA,93 SK
415,Pesquera MXI, 2020,No se encontró el elemento price,"5,0",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,92 SK
416,Privat Rosé Brut  Nature, 2021,No se encontró el elemento price,"0,0",Cava,DO Cava,"12,0%",Chardonnay,NA,91 PN,NA
417,Ànima Negra ÀN/2, 2021,No se encontró el elemento price,"4,6",Vino tinto,España,"13,0%",Callet,91+ PK,NA,NA
418,U Mes U Ardea Rosé Brut Reserva,,No se encontró el elemento price,"0,0",Cava,DO Cava,"11,5%",Pinot noir,NA,NA,NA
419,Clos Montblanc Chardonnay Únic, 2022,No se encontró el elemento price,"4,1",Vino blanco,Catalunya,"14,0%",Chardonnay,NA,NA,NA
420,Las Moradas de San Martín Senda, 2019,No se encontró el elemento price,"4,0",Vino tinto,Vinos de Madrid,"14,5%",Garnacha,90 PK,90 PN,NA
421,Palomo Cojo, 2022,"8,95 €","4,4",Vino blanco,Rueda,"13,0%",Verdejo,NA,NA,NA
422,Abadía Retuerta Le Domaine, 2022,No se encontró el elemento price,"4,4",Vino blanco,Abadía Retuerta,"13,5%",Sauvignon blanc,93 PK,93 PN,93 SK
423,Guímaro Godello, 2022,"12,90 €","4,2",Vino blanco,Ribeira Sacra,"12,0%",Godello,93 PK,NA,NA
424,Conde Siruela Roble, 2022,No se encontró el elemento price,"4,3",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,NA,NA
425,Mas de Mancuso Garnacha, 2018,No se encontró el elemento price,"4,5",Vino tinto,Cariñena,"14,5%",Garnacha,94 PK,93 PN,91 SK
426,Perplejo, 2022,No se encontró el elemento price,"4,7",Vino blanco,Rueda,"12,5%",Verdejo,NA,NA,NA
427,Las Gundiñas, 2021,No se encontró el elemento price,"3,3",Vino tinto,Bierzo,"13,5%",Mencía,94 PK,94 PN,NA
428,Vermell, 2022,No se encontró el elemento price,"4,2",Vino tinto,Valencia,"13,0%",Monastrell,92 PK,NA,NA
429,Taberner, 2017,No se encontró el elemento price,"4,5",Vino tinto,Cádiz,"15,0%",Syrah,92 PK,NA,NA
430,Barahonda Organic Barrica, 2020,No se encontró el elemento price,"4,5",Vino tinto,Yecla,"14,5%",Monastrell,NA,NA,NA
431,Cava Rimarts Gran Reserva Chardonnay, 2017,No se encontró el elemento price,"3,5",Cava,DO Cava,"11,5%",Chardonnay,90 PK,NA,NA
432,Azpilicueta Colección Privada Blanco, 2021,No se encontró el elemento price,"5,0",Vino blanco,Rioja,"13,0%",Viura,NA,NA,NA
433,Pontellón, 2022,No se encontró el elemento price,"4,3",Vino blanco,Rías Baixas,"12,5%",Albariño,NA,90 PN,NA
434,Valdespino Fino Ynocente,,No se encontró el elemento price,"4,5",Fino,Jerez-Manzanilla,"15,0%",Palomino fino,NA,NA,NA
435,AT Roca Rosat Reserva, 2021,No se encontró el elemento price,"4,7",Cava,Clàssic Penedès,"12,0%",Macabeo,90 PK,NA,NA
436,Castro Candaz Finca El Curvado, 2019,No se encontró el elemento price,"4,3",Vino tinto,Ribeira Sacra,"13,0%",Mencía,92 PK,NA,NA
437,Matsu El Viejo, 2020,No se encontró el elemento price,"4,6",Vino tinto,Toro,"15,0%",Tinta de Toro,94 PK,92 PN,NA
438,La Viña de Ayer Albillo Real, 2019,No se encontró el elemento price,"3,7",Vino naranja,Cebreros,"13,5%",Albillo,92 PK,NA,NA
439,Corimbo I, 2016,"45,90 €","4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,95 PK,94 PN,94 SK
440,Lafou Els Amelers, 2022,No se encontró el elemento price,"4,6",Vino blanco,Terra Alta,"13,0%",Garnacha blanca,91 PK,NA,NA
441,Quinta Quietud, 2017,No se encontró el elemento price,"4,3",Vino tinto,Toro,"14,5%",Tinta de Toro,NA,92 PN,NA
442,Luzón Colección Roble, 2022,No se encontró el elemento price,"4,0",Vino tinto,Jumilla,"14,5%",Monastrell,NA,NA,NA
443,Tomas Postigo Verdejo F.B., 2020,"26,90 €","5,0",Vino blanco,Castilla y León,"14,0%",Verdejo,NA,91 PN,NA
444,Cair Selección La Aguilera, 2019,No se encontró el elemento price,"5,0",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,91 PN,NA
445,Laus Crianza, 2019,No se encontró el elemento price,"3,8",Vino tinto,Somontano,"14,0%",Merlot,NA,NA,NA
446,Borsao Tinto Selección, 2022,No se encontró el elemento price,"4,1",Vino tinto,Campo de Borja,"14,5%",Garnacha,NA,NA,NA
447,Nadal Salvatge Brut, 2016,No se encontró el elemento price,"4,0",Cava,Corpinnat,"12,0%",Macabeo,NA,NA,NA
448,Acusp, 2019,"39,00 €","4,8",Vino tinto,Costers del Segre,"12,5%",Pinot noir,93 PK,93 PN,NA
449,Mas d'en Gil Vi de Vila Bellmunt del Priorat, 2020,No se encontró el elemento price,"3,9",Vino tinto,Priorat,"14,5%",Garnacha,92 PK,NA,NA
450,Herència Altés Benufet, 2022,No se encontró el elemento price,"4,0",Vino blanco,Terra Alta,"14,0%",Garnacha blanca,91 PK,NA,NA
451,Artadi Tradición, 2022,"14,75 €","3,8",Vino de maceración carbónica,España,"14,0%",Tempranillo,90 PK,NA,NA
452,Cueva de Lobos Crianza, 2020,No se encontró el elemento price,"3,9",Vino tinto,Rioja,"14,0%",Tempranillo,NA,90 PN,90 SK
453,El Pacto, 2020,No se encontró el elemento price,"4,1",Vino tinto,Rioja,"14,0%",Tempranillo,NA,NA,92 SK
454,Raventós i Blanc De la Finca, 2020,No se encontró el elemento price,"4,1",Cava,Conca del Riu Anoia,"12,0%",Xarel·lo,93 PK,NA,NA
455,Viña Pomal Reserva, 2017,No se encontró el elemento price,"4,2",Vino tinto,Rioja,"14,5%",Tempranillo,91 PK,NA,NA
456,El Veïnat Garnacha, 2022,No se encontró el elemento price,"4,3",Vino tinto,Montsant,"14,5%",Garnacha,NA,NA,NA
457,Cresta Rosa,,No se encontró el elemento price,"4,1",Vino rosado frizzante,España,"12,5%",Tempranillo,NA,NA,NA
458,Akutain Crianza, 2018,No se encontró el elemento price,"0,0",Vino Tinto,Rioja,"13,0%",Tempranillo,91+ PK,NA,NA
459,Viña Esmeralda, 2022,No se encontró el elemento price,"4,6",Vino blanco,Penedès,"11,5%",Moscatel de Alejandría,NA,NA,NA
460,Pedregosa Reserva Millésimé, 2018,No se encontró el elemento price,"4,0",Cava,DO Cava,"11,5%",Chardonnay,NA,NA,NA
461,Lan a Mano, 2020,No se encontró el elemento price,"5,0",Vino tinto,Rioja,"14,0%",Tempranillo,NA,93 PN,94 SK
462,Raimat Abadia Ecológico, 2021,No se encontró el elemento price,"4,5",Vino tinto,Costers del Segre,"14,0%",Cabernet sauvignon,NA,NA,NA
463,Rebeldes, 2022,No se encontró el elemento price,"4,0",Vino tinto,Montsant,"14,5%",Garnacha,NA,NA,NA
464,Manzanilla Pasada Pastrana,,No se encontró el elemento price,"4,3",Manzanilla,Jerez-Manzanilla,"15,0%",Palomino fino,NA,NA,NA
465,Corambres, 2022,No se encontró el elemento price,"5,0",Vino tinto,Castilla,"14,0%",Tempranillo,NA,NA,NA
466,Shaya Verdejo, 2021,No se encontró el elemento price,"4,5",Vino blanco,Rueda,"13,5%",Verdejo,NA,93 PN,NA
467,Campillo Reserva Colección, 2018,No se encontró el elemento price,"3,5",Vino tinto,Rioja,"14,5%",Tempranillo,NA,NA,NA
468,Santiago Ruiz, 2022,"14,90 €","4,4",Vino blanco,Rías Baixas,"12,5%",Albariño,NA,NA,NA
469,Txomin Etxaniz Rosé, 2022,No se encontró el elemento price,"4,0",Vino rosado,Getariako Txakolina,"10,5%",Hondarribi zuri,NA,NA,NA
470,Anna de Codorniu Ice Edition,,No se encontró el elemento price,"4,2",Cava,DO Cava,"11,5%",Chardonnay,NA,NA,NA
471,Viña Tondonia Gran Reserva Histórico, 1981,"223,50 €","5,0",Vino Tinto,Rioja,"12,5%",Tempranillo,NA,NA,NA
472,Barón de Ley Reserva, 2018,No se encontró el elemento price,"4,5",Vino tinto,Rioja,"14,5%",Tempranillo,NA,91 PN,NA
473,Oriol Rossell Brut Rosat,,No se encontró el elemento price,"5,0",Cava,DO Cava,"11,5%",Garnacha,NA,NA,NA
474,Manar dos Seixas, 2021,"17,90 €","4,3",Vino blanco,Ribeiro,"12,5%",Treixadura,91 PK,93 PN,NA
475,Nadal Brut Reserva Original,,No se encontró el elemento price,"4,5",Cava,Corpinnat,"12,0%",Parellada,NA,NA,NA
476,Frisach L'Abrunet Blanc, 2022,No se encontró el elemento price,"4,2",Vino blanco,Terra Alta,"13,0%",Garnacha blanca,NA,NA,NA
477,Viña Salceda Rueda Verdejo, 2022,No se encontró el elemento price,"4,0",Vino blanco,Rueda,"13,0%",Verdejo,NA,NA,NA
478,Agnvs Crianza, 2019,No se encontró el elemento price,"5,0",Vino tinto,Rioja,"14,0%",Tempranillo,NA,NA,NA
479,Izadi Larrosa Negra, 2021,"8,95 €","4,6",Vino tinto,Rioja,"14,5%",Garnacha,91 PK,90 PN,93 SK
480,Les Brugueres Negre, 2021,No se encontró el elemento price,"4,8",Vino tinto,Priorat,"14,0%",Garnacha,90 PK,NA,94 SK
481,Missenyora, 2021,No se encontró el elemento price,"5,0",Vino blanco,Costers del Segre,"14,5%",Macabeo,90 PK,NA,NA
482,Cava El Cigalero Gran Reserva Brut Nature, 2015,No se encontró el elemento price,"5,0",Cava,DO Cava,"12,0%",Macabeo,NA,NA,NA
483,El Nen de Can Maset, 2021,No se encontró el elemento price,"5,0",Vino tinto,Empordà,"14,5%",Syrah,NA,NA,NA
484,La Huella de Aitana, 2022,No se encontró el elemento price,"4,3",Vino rosado criado en barrica,Navarra,"13,5%",Garnacha,90 PK,90 PN,NA
485,Valdespino Manzanilla Deliciosa en Rama - Saca de Primavera," (0,37 L)",No se encontró el elemento price,"4,9",Manzanilla,Jerez-Manzanilla,"15,0%",Palomino fino,NA,NA,NA
486,Adaras Aldea, 2021,No se encontró el elemento price,"4,3",Vino tinto,Almansa,"13,5%",Garnacha tintorera,NA,90 PN,91 SK
487,Venta La Ossa Syrah, 2019,No se encontró el elemento price,"4,2",Vino tinto,Castilla,"15,0%",Syrah,NA,93 PN,NA
488,Allende, 2014,No se encontró el elemento price,"4,9",Vino tinto,Rioja,"13,5%",Tempranillo,92 PK,NA,NA
489,Jaros Tinto, 2020,No se encontró el elemento price,"4,3",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,NA
490,Pedralonga Albariño, 2022,No se encontró el elemento price,"4,7",Vino blanco,Rías Baixas,"13,0%",Albariño,NA,NA,NA
491,Atalier Albariño, 2022,No se encontró el elemento price,"4,0",Vino blanco,Rías Baixas,"13,0%",Albariño,94 PK,NA,NA
492,De Muller Vino de Misa 1L,,No se encontró el elemento price,"4,7",Vino dulce natural,Terra Alta,"15,0%",Garnacha blanca,NA,NA,NA
493,Mont-Ferrant Brut Reserva Ecològic,,No se encontró el elemento price,"0,0",Cava,DO Cava,"11,0%",Xarel·lo,NA,NA,NA
494,Akutain Crianza, 2018,No se encontró el elemento price,"0,0",Vino Tinto,Rioja,"13,0%",Tempranillo,91+ PK,NA,NA
495,Viña Esmeralda, 2022,No se encontró el elemento price,"4,6",Vino blanco,Penedès,"11,5%",Moscatel de Alejandría,NA,NA,NA
496,Pedregosa Reserva Millésimé, 2018,No se encontró el elemento price,"4,0",Cava,DO Cava,"11,5%",Chardonnay,NA,NA,NA
497,Lan a Mano, 2020,No se encontró el elemento price,"5,0",Vino tinto,Rioja,"14,0%",Tempranillo,NA,93 PN,94 SK
498,Raimat Abadia Ecológico, 2021,No se encontró el elemento price,"4,5",Vino tinto,Costers del Segre,"14,0%",Cabernet sauvignon,NA,NA,NA
499,Rebeldes, 2022,No se encontró el elemento price,"4,0",Vino tinto,Montsant,"14,5%",Garnacha,NA,NA,NA
500,Manzanilla Pasada Pastrana,,No se encontró el elemento price,"4,3",Manzanilla,Jerez-Manzanilla,"15,0%",Palomino fino,NA,NA,NA
501,Corambres, 2022,No se encontró el elemento price,"5,0",Vino tinto,Castilla,"14,0%",Tempranillo,NA,NA,NA
502,Shaya Verdejo, 2021,No se encontró el elemento price,"4,5",Vino blanco,Rueda,"13,5%",Verdejo,NA,93 PN,NA
503,Campillo Reserva Colección, 2018,No se encontró el elemento price,"3,5",Vino tinto,Rioja,"14,5%",Tempranillo,NA,NA,NA
504,Santiago Ruiz, 2022,"14,90 €","4,4",Vino blanco,Rías Baixas,"12,5%",Albariño,NA,NA,NA
505,Txomin Etxaniz Rosé, 2022,No se encontró el elemento price,"4,0",Vino rosado,Getariako Txakolina,"10,5%",Hondarribi zuri,NA,NA,NA
506,Anna de Codorniu Ice Edition,,No se encontró el elemento price,"4,2",Cava,DO Cava,"11,5%",Chardonnay,NA,NA,NA
507,Viña Tondonia Gran Reserva Histórico, 1981,"223,50 €","5,0",Vino Tinto,Rioja,"12,5%",Tempranillo,NA,NA,NA
508,Barón de Ley Reserva, 2018,No se encontró el elemento price,"4,5",Vino tinto,Rioja,"14,5%",Tempranillo,NA,91 PN,NA
509,Oriol Rossell Brut Rosat,,No se encontró el elemento price,"5,0",Cava,DO Cava,"11,5%",Garnacha,NA,NA,NA
510,Manar dos Seixas, 2021,"17,90 €","4,3",Vino blanco,Ribeiro,"12,5%",Treixadura,91 PK,93 PN,NA
511,Nadal Brut Reserva Original,,No se encontró el elemento price,"4,5",Cava,Corpinnat,"12,0%",Parellada,NA,NA,NA
512,Frisach L'Abrunet Blanc, 2022,No se encontró el elemento price,"4,2",Vino blanco,Terra Alta,"13,0%",Garnacha blanca,NA,NA,NA
513,Viña Salceda Rueda Verdejo, 2022,No se encontró el elemento price,"4,0",Vino blanco,Rueda,"13,0%",Verdejo,NA,NA,NA
514,Agnvs Crianza, 2019,No se encontró el elemento price,"5,0",Vino tinto,Rioja,"14,0%",Tempranillo,NA,NA,NA
515,Izadi Larrosa Negra, 2021,"8,95 €","4,6",Vino tinto,Rioja,"14,5%",Garnacha,91 PK,90 PN,93 SK
516,Les Brugueres Negre, 2021,No se encontró el elemento price,"4,8",Vino tinto,Priorat,"14,0%",Garnacha,90 PK,NA,94 SK
517,Missenyora, 2021,No se encontró el elemento price,"5,0",Vino blanco,Costers del Segre,"14,5%",Macabeo,90 PK,NA,NA
518,Cava El Cigalero Gran Reserva Brut Nature, 2015,No se encontró el elemento price,"5,0",Cava,DO Cava,"12,0%",Macabeo,NA,NA,NA
519,El Nen de Can Maset, 2021,No se encontró el elemento price,"5,0",Vino tinto,Empordà,"14,5%",Syrah,NA,NA,NA
520,La Huella de Aitana, 2022,No se encontró el elemento price,"4,3",Vino rosado criado en barrica,Navarra,"13,5%",Garnacha,90 PK,90 PN,NA
521,Valdespino Manzanilla Deliciosa en Rama - Saca de Primavera," (0,37 L)",No se encontró el elemento price,"4,9",Manzanilla,Jerez-Manzanilla,"15,0%",Palomino fino,NA,NA,NA
522,Adaras Aldea, 2021,No se encontró el elemento price,"4,3",Vino tinto,Almansa,"13,5%",Garnacha tintorera,NA,90 PN,91 SK
523,Venta La Ossa Syrah, 2019,No se encontró el elemento price,"4,2",Vino tinto,Castilla,"15,0%",Syrah,NA,93 PN,NA
524,Allende, 2014,No se encontró el elemento price,"4,9",Vino tinto,Rioja,"13,5%",Tempranillo,92 PK,NA,NA
525,Jaros Tinto, 2020,No se encontró el elemento price,"4,3",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,NA
526,Pedralonga Albariño, 2022,No se encontró el elemento price,"4,7",Vino blanco,Rías Baixas,"13,0%",Albariño,NA,NA,NA
527,Oriol Rossell Mític 1908 BN Gran Reserva, 2018,No se encontró el elemento price,"4,0",Cava,DO Cava,"12,0%",Xarel·lo,NA,NA,NA
528,Llopart Néctar Terrenal,,"13,50 €","5,0",Cava,Corpinnat,"11,5%",Xarel·lo,NA,NA,NA
529,Los Cantos de Torremilanos, 2020,No se encontró el elemento price,"4,3",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,92 PK,90 PN,NA
530,Lan Gran Reserva, 2016,No se encontró el elemento price,"4,5",Vino tinto,Rioja,"14,0%",Tempranillo,NA,92 PN,93 SK
531,Ysios, 2016,No se encontró el elemento price,"4,3",Vino tinto,Rioja,"15,0%",Tempranillo,NA,92 PN,90 SK
532,Gargalo Godello, 2022,No se encontró el elemento price,"4,0",Vino blanco,Monterrei,"14,0%",Godello,NA,90 PN,92 SK
533,Mestizaje, 2021,"10,90 €","4,2",Vino tinto,El Terrerazo,"13,5%",Bobal,91 PK,91 PN,NA
534,Costers del Gravet, 2021,No se encontró el elemento price,"4,3",Vino tinto,Montsant,"14,5%",Cabernet sauvignon,90 PK,NA,NA
535,Ama de Gorka Izagirre, 2019,No se encontró el elemento price,"0,0",Vino blanco,Bizkaiko Txakolina,"13,5%",Hondarribi zerratia,NA,NA,NA
536,Do Ferreiro Adina, 2022,No se encontró el elemento price,"4,0",Vino blanco,Rías Baixas,"12,5%",Albariño,94+ PK,NA,NA
537,La Mateo Colección de Familia Vendimia, 2020,No se encontró el elemento price,"4,4",Vino tinto,Rioja,"14,5%",Tempranillo,NA,91 PN,NA
538,Lustau Amontillado Los Arcos,,No se encontró el elemento price,"3,3",Amontillado,Jerez-Manzanilla,"18,5%",Palomino fino,NA,NA,NA
539,Baynos, 2021,No se encontró el elemento price,"5,0",Vino Tinto,Rioja,"14,0%",Tempranillo,94-96 PK,NA,NA
540,Gotas de Mar, 2022,No se encontró el elemento price,"4,5",Vino blanco,Rías Baixas,"12,5%",Albariño,NA,NA,NA
541,Diaz Bayo 15 Meses Crianza, 2021,No se encontró el elemento price,"4,4",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,90 PN,NA
542,Fresquito Vino de Tinaja, 2022,No se encontró el elemento price,"4,0",Vino blanco,Montilla-Moriles,"14,5%",Pedro ximénez,NA,NA,NA
543,Albamar Ceibo Godello, 2022,"24,50 €","0,0",Vino blanco,Valdeorras,"13,5%",Godello,91 PK,91 PN,NA
544,Dehesa del Carrizal Cabernet Sauvignon, 2020,"18,80 €","4,4",Vino tinto,Pago Dehesa del Carrizal,"15,0%",Cabernet sauvignon,91 PK,NA,93 SK
545,Tinto Figuero 12 Meses, 2020,No se encontró el elemento price,"4,8",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,90 PK,NA,NA
546,Terras de Cigarrón, 2022,No se encontró el elemento price,"4,8",Vino blanco,Monterrei,"12,5%",Godello,NA,NA,NA
547,Torre Barreda Tempranillo, 2022,No se encontró el elemento price,"4,0",Vino tinto,Castilla,"14,5%",Tempranillo,NA,NA,NA
548,Camino de los Arrieros, 2021,No se encontró el elemento price,"4,0",Vino tinto,Arribes,"11,5%",Trincadeira,93 PK,NA,92 SK
549,Augustus Chardonnay, 2022,No se encontró el elemento price,"4,2",Vino blanco,Penedès,"13,0%",Chardonnay,90 PK,92 PN,NA
550,Cune Imperial Reserva, 2018,"29,20 €","4,1",Vino tinto,Rioja,"14,0%",Tempranillo,94 PK,NA,NA
551,Pazo de Rubianes, 2022,No se encontró el elemento price,"5,0",Vino blanco,Rías Baixas,"13,0%",Albariño,90 PK,92 PN,NA
552,Cardela, 2018,No se encontró el elemento price,"4,5",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,NA
553,Las Iruelas, 2021,"153,50 €","0,0",Vino tinto,Castilla y León,"14,0%",Garnacha,98 PK,NA,95 SK
554,Portia Roble, 2022,No se encontró el elemento price,"4,0",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,NA,92 SK
555,Marqués de Riscal Verdejo Organic, 2022,"9,95 €","5,0",Vino blanco,Rueda,"13,0%",Verdejo,NA,NA,NA
556,Pissarres, 2021,No se encontró el elemento price,"4,3",Vino tinto,Priorat,"14,5%",Garnacha,91 PK,92 PN,NA
557,Vilarnau Brut Reserva Rosé,,"13,90 €","5,0",Cava,DO Cava,"12,0%",Garnacha,NA,NA,NA
558,Terroir al Límit Pedra de Guix, 2021,No se encontró el elemento price,"4,8",Vino blanco,Priorat,"13,0%",Pedro ximénez,96 PK,94 PN,95 SK
559,Montecillo Gran Reserva, 2015,No se encontró el elemento price,"0,0",Vino tinto,Rioja,"13,5%",Tempranillo,NA,NA,NA
560,Coca i Fitó Blanc, 2021,No se encontró el elemento price,"0,0",Vino blanco,Montsant,"13,5%",Garnacha blanca,NA,NA,NA
561,Poesia Crianza, 2019,No se encontró el elemento price,"4,3",Vino tinto,Catalunya,"13,0%",Tempranillo,NA,NA,NA
562,Familia Pacheco Organic, 2022,No se encontró el elemento price,"4,0",Vino tinto,Jumilla,"14,0%",Monastrell,NA,NA,NA
563,Jardín Rojo, 2019,No se encontró el elemento price,"4,3",Vino tinto,Rioja,"13,5%",Tempranillo,NA,NA,NA
564,Bicicletas y Peces Verdejo, 2022,No se encontró el elemento price,"4,3",Vino blanco,Rueda,"13,0%",Verdejo,NA,NA,NA
565,Loco, 2022,No se encontró el elemento price,"0,0",Vino blanco,Méntrida,"14,5%",Garnacha blanca,94 PK,93 PN,NA
566,AC La Rodetta, 2022,No se encontró el elemento price,"4,6",Vino blanco,España,"10,5%",Viura,NA,NA,NA
567,Gran Barquero Amontillado,,No se encontró el elemento price,"4,6",Amontillado,Montilla-Moriles,"19,0%",Pedro ximénez,NA,NA,NA
568,Can Sumoi Garnatxa Blanca, 2022,No se encontró el elemento price,"4,8",Vino blanco,Penedès,"11,0%",Parellada,NA,NA,NA
569,Ximénez-Spínola Pedro Ximenez Muy Viejo,,"59,89 €","0,0",Vino dulce natural,Jerez-Manzanilla,"15,0%",Pedro ximénez,NA,NA,NA
570,Las Moradas de San Martín Albillo Real, 2021,No se encontró el elemento price,"4,6",Vino blanco,Vinos de Madrid,"13,0%",Albillo,90 PK,NA,NA
571,Corral de Campanas, 2020,No se encontró el elemento price,"4,0",Vino tinto,Toro,"14,5%",Tinta de Toro,NA,90 PN,NA
572,Juvé & Camps Essential, 2018,No se encontró el elemento price,"5,0",Cava,DO Cava,"12,0%",Xarel·lo,NA,NA,NA
573,Gran Feudo Casilla Del Guapo, 2021,No se encontró el elemento price,"5,0",Vino tinto,Navarra,"14,0%",Tempranillo,NA,NA,NA
574,Javier Sanz Verdejo, 2022,No se encontró el elemento price,"4,4",Vino blanco,Rueda,"13,0%",Verdejo,NA,90 PN,NA
575,Vallegarcía Syrah, 2021,No se encontró el elemento price,"4,6",Vino tinto,Vallegarcía,"15,5%",Syrah,91 PK,NA,NA
576,Coca i Fitó Maragda, 2017,No se encontró el elemento price,"3,8",Vino tinto,Montsant,"14,5%",Garnacha,NA,NA,NA
577,Enate Chardonnay Fermentado en Barrica, 2022,"18,25 €","4,8",Vino blanco,Somontano,"14,5%",Chardonnay,NA,92 PN,NA
578,Torelló Brut Nature Tradicional, 2017,"16,95 €","4,1",Cava,Corpinnat,"12,0%",Macabeo,92 PK,NA,NA
579,Payoya Negra, 2020,No se encontró el elemento price,"5,0",Vino tinto,Sierras de Málaga,"15,0%",Garnacha,NA,93 PN,NA
580,Nadal Salvatge Rosé,,No se encontró el elemento price,"5,0",Cava,Corpinnat,"12,5%",Pinot noir,NA,NA,NA
581,Luna Beberide Art, 2021,No se encontró el elemento price,"5,0",Vino tinto,Bierzo,"13,5%",Mencía,94 PK,90 PN,93 SK
582,Can Axartell Rosado, 2022,No se encontró el elemento price,"4,5",Vino rosado,Mallorca,"12,0%",Pinot noir,NA,NA,NA
583,Can Sumoi La Rosa, 2022,No se encontró el elemento price,"4,0",Vino rosado,Penedès,"11,0%",Sumoll,NA,90 PN,NA
584,Enate Merlot-Merlot, 2019,"23,50 €","4,8",Vino tinto,Somontano,"15,0%",Merlot,NA,91 PN,NA
585,Alto Siós, 2021,No se encontró el elemento price,"5,0",Vino tinto,Costers del Segre,"14,5%",Syrah,90 PK,91 PN,92 SK
586,Vespres, 2022,No se encontró el elemento price,"4,0",Vino tinto,Montsant,"14,0%",Garnacha,91 PK,90 PN,92 SK
587,Fedellos do Couto Lomba dos Ares, 2021,No se encontró el elemento price,"3,4",Vino tinto,Ribeira Sacra,"12,5%",Mencía,94 PK,NA,NA
588,Altanza Sauvignon Blanc, 2022,No se encontró el elemento price,"5,0",Vino blanco,Rioja,"13,0%",Sauvignon blanc,NA,NA,90 SK
589,Amfitrió de l'Empordà, 2020,No se encontró el elemento price,"5,0",Vino Tinto,Empordà,"15,0%",Garnacha,NA,NA,NA
590,Extremarium Reserva Brut Nature,,No se encontró el elemento price,"4,4",Cava,DO Cava,"12,0%",Xarel·lo,NA,NA,NA
591,Palacio Quemado Crianza, 2021,No se encontró el elemento price,"4,5",Vino tinto,Ribera del Guadiana,"13,5%",Tempranillo,NA,NA,91 SK
592,Azabache Crianza Vendimia Seleccionada, 2019,No se encontró el elemento price,"4,4",Vino tinto,Rioja,"14,0%",Tempranillo,NA,NA,NA
593,Familia Valdelana Blanco Semidulce, 2022,No se encontró el elemento price,"4,9",Vino semidulce,Rioja,"12,5%",Malvasía,NA,NA,NA
594,Honoro Vera Monastrell Organic, 2022,No se encontró el elemento price,"4,4",Vino tinto,Jumilla,"14,5%",Monastrell,90 PK,91 PN,NA
