Encabezados,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
59,Abadía Retuerta Selección Especial, 2019,"32,50 €","4,6",Vino tinto,Abadía Retuerta,"14,5%",Tempranillo,93 PK,94 PN,94 SK
60,Anahí Blanco, 2022,No se encontró el elemento price,"4,6",Vino blanco,Rioja,"11,0%",Malvasía,NA,NA,NA
61,Quintaluna, 2021,"14,90 €","4,3",Vino blanco,Rueda,"14,0%",Verdejo,92 PK,90 PN,NA
62,Honoro Vera Garnacha, 2022,No se encontró el elemento price,"4,6",Vino tinto,Calatayud,"14,5%",Garnacha,NA,NA,NA
63,Viña Cubillo, 2016,"15,50 €","4,4",Vino tinto,Rioja,"13,5%",Tempranillo,93 PK,NA,94 SK
64,Emilio Moro Finca Resalso, 2022,"9,60 €","4,3",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,90 PN,92 SK
65,José Pariente Sauvignon Blanc, 2022,No se encontró el elemento price,"4,5",Vino blanco,Rueda,"13,0%",Sauvignon blanc,NA,91 PN,NA
66,Casal de Armán Blanco, 2022,No se encontró el elemento price,"4,0",Vino blanco,Ribeiro,"13,5%",Treixadura,NA,NA,NA
67,Bosque de Matasnos Etiqueta Blanca, 2020,No se encontró el elemento price,"4,9",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,90 PK,94 PN,NA
68,Juvé & Camps Brut Rosé,,No se encontró el elemento price,"4,4",Cava,DO Cava,"12,0%",Pinot noir,NA,NA,NA
69,Tragolargo, 2022,No se encontró el elemento price,"3,9",Vino tinto,Alicante,"12,5%",Monastrell,91 PK,NA,NA
70,GR-174 Casa Gran del Siurana, 2022,No se encontró el elemento price,"4,3",Vino tinto,Priorat,"15,0%",Garnacha,NA,90 PN,NA
71,Gramona III Lustros, 2015,No se encontró el elemento price,"4,7",Cava,Corpinnat,"12,0%",Xarel·lo,94 PK,95 PN,NA
72,Perelada 5 Fincas Reserva, 2018,No se encontró el elemento price,"4,6",Vino tinto,Empordà,"14,4%",Merlot,NA,90 PN,NA
73,Familia Oliveda Brut Jove,,No se encontró el elemento price,"4,6",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
74,Remelluri Reserva, 2015,"26,60 €","4,5",Vino tinto,Rioja,"14,0%",Tempranillo,93+ PK,93 PN,93 SK
75,Primero de Fariña, 2023,"6,70 €","4,5",Vino de maceración carbónica,Toro,"14,0%",Tinta de Toro,NA,NA,NA
76,Dido La Universal, 2021,No se encontró el elemento price,"4,4",Vino tinto,Montsant,"14,0%",Garnacha,93 PK,93 PN,NA
